"filename", "language", "Groovy", "Batch", "XML", "Properties", "Java", "CSS", "HTML", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\.idea\compiler.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\.idea\gradle.xml", "XML", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\.idea\jarRepositories.xml", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\.idea\misc.xml", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\build.gradle", "Groovy", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 54
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 39
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\release\output-metadata.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 18
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\androidTest\java\com\arshsaxena\github\io\aconverter\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 5, 26
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\AndroidManifest.xml", "XML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\assets\404.html", "HTML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\assets\fonts\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 8, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\assets\global-fonts.css", "CSS", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\assets\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\assets\noNetwork.html", "HTML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\assets\style.css", "CSS", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 35
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\java\com\arshsaxena\github\io\aconverter\MainActivity.java", "Java", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 14, 129
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\java\com\arshsaxena\github\io\aconverter\MyFireBaseInstanceIDService.java", "Java", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\java\com\arshsaxena\github\io\aconverter\MyFirebaseMessagingService.java", "Java", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 8, 41
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 1, 171
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 0, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\values\colors.xml", "XML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\values\strings.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\main\res\values\themes.xml", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 0, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\app\src\test\java\com\arshsaxena\github\io\aconverter\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 3, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\build.gradle", "Groovy", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 26
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 16, 0, 19
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\gradlew.bat", "Batch", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 85
"c:\Users\sande\Desktop\iArsh\iDocuments\apps\aConverter\settings.gradle", "Groovy", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 65, 61, 365, 8, 183, 71, 61, 28, 9, 57, 45, 94, 1047